Year,State,CoC Number,Measures,Count
1/1/15,NY,NY-510,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-510,Unsheltered Homeless,16
1/1/15,NY,NY-510,Unsheltered Homeless Individuals,16
1/1/15,NY,NY-510,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-510,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-510,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-510,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-510,Unsheltered Homeless Veterans,2
1/1/15,NY,NY-510,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-510,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-510,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-511,Children of Parenting Youth,0
1/1/15,NY,NY-511,Chronically Homeless,8
1/1/15,NY,NY-511,Chronically Homeless Individuals,8
1/1/15,NY,NY-511,Chronically Homeless People in Families,0
1/1/15,NY,NY-511,Homeless Individuals,272
1/1/15,NY,NY-511,Homeless People in Families,30
1/1/15,NY,NY-511,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-511,Homeless Unaccompanied Young Adults (Age 18-24),65
1/1/15,NY,NY-511,Homeless Unaccompanied Youth (Under 25),65
1/1/15,NY,NY-511,Homeless Veterans,4
1/1/15,NY,NY-511,Parenting Youth (Under 25),0
1/1/15,NY,NY-511,Parenting Youth Age 18-24,0
1/1/15,NY,NY-511,Parenting Youth Under 18,0
1/1/15,NY,NY-511,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-511,Sheltered Chronically Homeless,0
1/1/15,NY,NY-511,Sheltered Chronically Homeless Individuals,0
1/1/15,NY,NY-511,Sheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-511,Sheltered Homeless,262
1/1/15,NY,NY-511,Sheltered Homeless Individuals,232
1/1/15,NY,NY-511,Sheltered Homeless People in Families,30
1/1/15,NY,NY-511,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-511,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),61
1/1/15,NY,NY-511,Sheltered Homeless Unaccompanied Youth (Under 25),61
1/1/15,NY,NY-511,Sheltered Homeless Veterans,4
1/1/15,NY,NY-511,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-511,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-511,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-511,Total Homeless,302
1/1/15,NY,NY-511,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-511,Unsheltered Chronically Homeless,8
1/1/15,NY,NY-511,Unsheltered Chronically Homeless Individuals,8
1/1/15,NY,NY-511,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-511,Unsheltered Homeless,40
1/1/15,NY,NY-511,Unsheltered Homeless Individuals,40
1/1/15,NY,NY-511,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-511,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-511,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,NY,NY-511,Unsheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,NY,NY-511,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-511,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-511,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-511,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-512,Children of Parenting Youth,0
1/1/15,NY,NY-512,Chronically Homeless,46
1/1/15,NY,NY-512,Chronically Homeless Individuals,37
1/1/15,NY,NY-512,Chronically Homeless People in Families,9
1/1/15,NY,NY-512,Homeless Individuals,112
1/1/15,NY,NY-512,Homeless People in Families,77
1/1/15,NY,NY-512,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-512,Homeless Unaccompanied Young Adults (Age 18-24),24
1/1/15,NY,NY-512,Homeless Unaccompanied Youth (Under 25),24
1/1/15,NY,NY-512,Homeless Veterans,10
1/1/15,NY,NY-512,Parenting Youth (Under 25),0
1/1/15,NY,NY-512,Parenting Youth Age 18-24,0
1/1/15,NY,NY-512,Parenting Youth Under 18,0
1/1/15,NY,NY-512,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-512,Sheltered Chronically Homeless,27
1/1/15,NY,NY-512,Sheltered Chronically Homeless Individuals,18
1/1/15,NY,NY-512,Sheltered Chronically Homeless People in Families,9
1/1/15,NY,NY-512,Sheltered Homeless,147
1/1/15,NY,NY-512,Sheltered Homeless Individuals,70
1/1/15,NY,NY-512,Sheltered Homeless People in Families,77
1/1/15,NY,NY-512,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-512,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),20
1/1/15,NY,NY-512,Sheltered Homeless Unaccompanied Youth (Under 25),20
1/1/15,NY,NY-512,Sheltered Homeless Veterans,9
1/1/15,NY,NY-512,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-512,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-512,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-512,Total Homeless,189
1/1/15,NY,NY-512,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-512,Unsheltered Chronically Homeless,19
1/1/15,NY,NY-512,Unsheltered Chronically Homeless Individuals,19
1/1/15,NY,NY-512,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-512,Unsheltered Homeless,42
1/1/15,NY,NY-512,Unsheltered Homeless Individuals,42
1/1/15,NY,NY-512,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-512,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-512,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,NY,NY-512,Unsheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,NY,NY-512,Unsheltered Homeless Veterans,1
1/1/15,NY,NY-512,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-512,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-512,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-513,Children of Parenting Youth,2
1/1/15,NY,NY-513,Chronically Homeless,38
1/1/15,NY,NY-513,Chronically Homeless Individuals,32
1/1/15,NY,NY-513,Chronically Homeless People in Families,6
1/1/15,NY,NY-513,Homeless Individuals,180
1/1/15,NY,NY-513,Homeless People in Families,7
1/1/15,NY,NY-513,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-513,Homeless Unaccompanied Young Adults (Age 18-24),36
1/1/15,NY,NY-513,Homeless Unaccompanied Youth (Under 25),36
1/1/15,NY,NY-513,Homeless Veterans,35
1/1/15,NY,NY-513,Parenting Youth (Under 25),2
1/1/15,NY,NY-513,Parenting Youth Age 18-24,2
1/1/15,NY,NY-513,Parenting Youth Under 18,0
1/1/15,NY,NY-513,Sheltered Children of Parenting Youth,2
1/1/15,NY,NY-513,Sheltered Chronically Homeless,38
1/1/15,NY,NY-513,Sheltered Chronically Homeless Individuals,32
1/1/15,NY,NY-513,Sheltered Chronically Homeless People in Families,6
1/1/15,NY,NY-513,Sheltered Homeless,187
1/1/15,NY,NY-513,Sheltered Homeless Individuals,180
1/1/15,NY,NY-513,Sheltered Homeless People in Families,7
1/1/15,NY,NY-513,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-513,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),36
1/1/15,NY,NY-513,Sheltered Homeless Unaccompanied Youth (Under 25),36
1/1/15,NY,NY-513,Sheltered Homeless Veterans,35
1/1/15,NY,NY-513,Sheltered Parenting Youth (Under 25),2
1/1/15,NY,NY-513,Sheltered Parenting Youth Age 18-24,2
1/1/15,NY,NY-513,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-513,Total Homeless,187
1/1/15,NY,NY-513,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-513,Unsheltered Chronically Homeless,0
1/1/15,NY,NY-513,Unsheltered Chronically Homeless Individuals,0
1/1/15,NY,NY-513,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-513,Unsheltered Homeless,0
1/1/15,NY,NY-513,Unsheltered Homeless Individuals,0
1/1/15,NY,NY-513,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-513,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-513,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-513,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-513,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-513,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-513,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-513,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-514,Children of Parenting Youth,0
1/1/15,NY,NY-514,Chronically Homeless,23
1/1/15,NY,NY-514,Chronically Homeless Individuals,14
1/1/15,NY,NY-514,Chronically Homeless People in Families,9
1/1/15,NY,NY-514,Homeless Individuals,20
1/1/15,NY,NY-514,Homeless People in Families,9
1/1/15,NY,NY-514,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-514,Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,NY,NY-514,Homeless Unaccompanied Youth (Under 25),4
1/1/15,NY,NY-514,Homeless Veterans,0
1/1/15,NY,NY-514,Parenting Youth (Under 25),0
1/1/15,NY,NY-514,Parenting Youth Age 18-24,0
1/1/15,NY,NY-514,Parenting Youth Under 18,0
1/1/15,NY,NY-514,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-514,Sheltered Chronically Homeless,23
1/1/15,NY,NY-514,Sheltered Chronically Homeless Individuals,14
1/1/15,NY,NY-514,Sheltered Chronically Homeless People in Families,9
1/1/15,NY,NY-514,Sheltered Homeless,29
1/1/15,NY,NY-514,Sheltered Homeless Individuals,20
1/1/15,NY,NY-514,Sheltered Homeless People in Families,9
1/1/15,NY,NY-514,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-514,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),4
1/1/15,NY,NY-514,Sheltered Homeless Unaccompanied Youth (Under 25),4
1/1/15,NY,NY-514,Sheltered Homeless Veterans,0
1/1/15,NY,NY-514,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-514,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-514,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-514,Total Homeless,29
1/1/15,NY,NY-514,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-514,Unsheltered Chronically Homeless,0
1/1/15,NY,NY-514,Unsheltered Chronically Homeless Individuals,0
1/1/15,NY,NY-514,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-514,Unsheltered Homeless,0
1/1/15,NY,NY-514,Unsheltered Homeless Individuals,0
1/1/15,NY,NY-514,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-514,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-514,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-514,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-514,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-514,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-514,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-514,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-516,Children of Parenting Youth,0
1/1/15,NY,NY-516,Chronically Homeless,15
1/1/15,NY,NY-516,Chronically Homeless Individuals,12
1/1/15,NY,NY-516,Chronically Homeless People in Families,3
1/1/15,NY,NY-516,Homeless Individuals,88
1/1/15,NY,NY-516,Homeless People in Families,55
1/1/15,NY,NY-516,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-516,Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-516,Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-516,Homeless Veterans,0
1/1/15,NY,NY-516,Parenting Youth (Under 25),0
1/1/15,NY,NY-516,Parenting Youth Age 18-24,0
1/1/15,NY,NY-516,Parenting Youth Under 18,0
1/1/15,NY,NY-516,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-516,Sheltered Chronically Homeless,12
1/1/15,NY,NY-516,Sheltered Chronically Homeless Individuals,9
1/1/15,NY,NY-516,Sheltered Chronically Homeless People in Families,3
1/1/15,NY,NY-516,Sheltered Homeless,140
1/1/15,NY,NY-516,Sheltered Homeless Individuals,85
1/1/15,NY,NY-516,Sheltered Homeless People in Families,55
1/1/15,NY,NY-516,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-516,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-516,Sheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-516,Sheltered Homeless Veterans,0
1/1/15,NY,NY-516,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-516,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-516,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-516,Total Homeless,143
1/1/15,NY,NY-516,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-516,Unsheltered Chronically Homeless,3
1/1/15,NY,NY-516,Unsheltered Chronically Homeless Individuals,3
1/1/15,NY,NY-516,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-516,Unsheltered Homeless,3
1/1/15,NY,NY-516,Unsheltered Homeless Individuals,3
1/1/15,NY,NY-516,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-516,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-516,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-516,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-516,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-516,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-516,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-516,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-518,Children of Parenting Youth,13
1/1/15,NY,NY-518,Chronically Homeless,41
1/1/15,NY,NY-518,Chronically Homeless Individuals,37
1/1/15,NY,NY-518,Chronically Homeless People in Families,4
1/1/15,NY,NY-518,Homeless Individuals,89
1/1/15,NY,NY-518,Homeless People in Families,51
1/1/15,NY,NY-518,Homeless Unaccompanied Children (Under 18),3
1/1/15,NY,NY-518,Homeless Unaccompanied Young Adults (Age 18-24),17
1/1/15,NY,NY-518,Homeless Unaccompanied Youth (Under 25),20
1/1/15,NY,NY-518,Homeless Veterans,4
1/1/15,NY,NY-518,Parenting Youth (Under 25),11
1/1/15,NY,NY-518,Parenting Youth Age 18-24,10
1/1/15,NY,NY-518,Parenting Youth Under 18,1
1/1/15,NY,NY-518,Sheltered Children of Parenting Youth,13
1/1/15,NY,NY-518,Sheltered Chronically Homeless,32
1/1/15,NY,NY-518,Sheltered Chronically Homeless Individuals,28
1/1/15,NY,NY-518,Sheltered Chronically Homeless People in Families,4
1/1/15,NY,NY-518,Sheltered Homeless,123
1/1/15,NY,NY-518,Sheltered Homeless Individuals,72
1/1/15,NY,NY-518,Sheltered Homeless People in Families,51
1/1/15,NY,NY-518,Sheltered Homeless Unaccompanied Children (Under 18),3
1/1/15,NY,NY-518,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),14
1/1/15,NY,NY-518,Sheltered Homeless Unaccompanied Youth (Under 25),17
1/1/15,NY,NY-518,Sheltered Homeless Veterans,0
1/1/15,NY,NY-518,Sheltered Parenting Youth (Under 25),11
1/1/15,NY,NY-518,Sheltered Parenting Youth Age 18-24,10
1/1/15,NY,NY-518,Sheltered Parenting Youth Under 18,1
1/1/15,NY,NY-518,Total Homeless,140
1/1/15,NY,NY-518,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-518,Unsheltered Chronically Homeless,9
1/1/15,NY,NY-518,Unsheltered Chronically Homeless Individuals,9
1/1/15,NY,NY-518,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-518,Unsheltered Homeless,17
1/1/15,NY,NY-518,Unsheltered Homeless Individuals,17
1/1/15,NY,NY-518,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-518,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-518,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),3
1/1/15,NY,NY-518,Unsheltered Homeless Unaccompanied Youth (Under 25),3
1/1/15,NY,NY-518,Unsheltered Homeless Veterans,4
1/1/15,NY,NY-518,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-518,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-518,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-519,Children of Parenting Youth,2
1/1/15,NY,NY-519,Chronically Homeless,24
1/1/15,NY,NY-519,Chronically Homeless Individuals,10
1/1/15,NY,NY-519,Chronically Homeless People in Families,14
1/1/15,NY,NY-519,Homeless Individuals,41
1/1/15,NY,NY-519,Homeless People in Families,56
1/1/15,NY,NY-519,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-519,Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,NY,NY-519,Homeless Unaccompanied Youth (Under 25),5
1/1/15,NY,NY-519,Homeless Veterans,0
1/1/15,NY,NY-519,Parenting Youth (Under 25),1
1/1/15,NY,NY-519,Parenting Youth Age 18-24,1
1/1/15,NY,NY-519,Parenting Youth Under 18,0
1/1/15,NY,NY-519,Sheltered Children of Parenting Youth,2
1/1/15,NY,NY-519,Sheltered Chronically Homeless,23
1/1/15,NY,NY-519,Sheltered Chronically Homeless Individuals,9
1/1/15,NY,NY-519,Sheltered Chronically Homeless People in Families,14
1/1/15,NY,NY-519,Sheltered Homeless,95
1/1/15,NY,NY-519,Sheltered Homeless Individuals,39
1/1/15,NY,NY-519,Sheltered Homeless People in Families,56
1/1/15,NY,NY-519,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-519,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),5
1/1/15,NY,NY-519,Sheltered Homeless Unaccompanied Youth (Under 25),5
1/1/15,NY,NY-519,Sheltered Homeless Veterans,0
1/1/15,NY,NY-519,Sheltered Parenting Youth (Under 25),1
1/1/15,NY,NY-519,Sheltered Parenting Youth Age 18-24,1
1/1/15,NY,NY-519,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-519,Total Homeless,97
1/1/15,NY,NY-519,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-519,Unsheltered Chronically Homeless,1
1/1/15,NY,NY-519,Unsheltered Chronically Homeless Individuals,1
1/1/15,NY,NY-519,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-519,Unsheltered Homeless,2
1/1/15,NY,NY-519,Unsheltered Homeless Individuals,2
1/1/15,NY,NY-519,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-519,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-519,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-519,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-519,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-519,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-519,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-519,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-520,Children of Parenting Youth,0
1/1/15,NY,NY-520,Chronically Homeless,3
1/1/15,NY,NY-520,Chronically Homeless Individuals,3
1/1/15,NY,NY-520,Chronically Homeless People in Families,0
1/1/15,NY,NY-520,Homeless Individuals,17
1/1/15,NY,NY-520,Homeless People in Families,11
1/1/15,NY,NY-520,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-520,Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,NY,NY-520,Homeless Unaccompanied Youth (Under 25),6
1/1/15,NY,NY-520,Homeless Veterans,2
1/1/15,NY,NY-520,Parenting Youth (Under 25),0
1/1/15,NY,NY-520,Parenting Youth Age 18-24,0
1/1/15,NY,NY-520,Parenting Youth Under 18,0
1/1/15,NY,NY-520,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-520,Sheltered Chronically Homeless,3
1/1/15,NY,NY-520,Sheltered Chronically Homeless Individuals,3
1/1/15,NY,NY-520,Sheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-520,Sheltered Homeless,28
1/1/15,NY,NY-520,Sheltered Homeless Individuals,17
1/1/15,NY,NY-520,Sheltered Homeless People in Families,11
1/1/15,NY,NY-520,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-520,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),6
1/1/15,NY,NY-520,Sheltered Homeless Unaccompanied Youth (Under 25),6
1/1/15,NY,NY-520,Sheltered Homeless Veterans,2
1/1/15,NY,NY-520,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-520,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-520,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-520,Total Homeless,28
1/1/15,NY,NY-520,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-520,Unsheltered Chronically Homeless,0
1/1/15,NY,NY-520,Unsheltered Chronically Homeless Individuals,0
1/1/15,NY,NY-520,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-520,Unsheltered Homeless,0
1/1/15,NY,NY-520,Unsheltered Homeless Individuals,0
1/1/15,NY,NY-520,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-520,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-520,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-520,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-520,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-520,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-520,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-520,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-522,Children of Parenting Youth,0
1/1/15,NY,NY-522,Chronically Homeless,8
1/1/15,NY,NY-522,Chronically Homeless Individuals,8
1/1/15,NY,NY-522,Chronically Homeless People in Families,0
1/1/15,NY,NY-522,Homeless Individuals,77
1/1/15,NY,NY-522,Homeless People in Families,9
1/1/15,NY,NY-522,Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-522,Homeless Unaccompanied Young Adults (Age 18-24),12
1/1/15,NY,NY-522,Homeless Unaccompanied Youth (Under 25),12
1/1/15,NY,NY-522,Homeless Veterans,6
1/1/15,NY,NY-522,Parenting Youth (Under 25),0
1/1/15,NY,NY-522,Parenting Youth Age 18-24,0
1/1/15,NY,NY-522,Parenting Youth Under 18,0
1/1/15,NY,NY-522,Sheltered Children of Parenting Youth,0
1/1/15,NY,NY-522,Sheltered Chronically Homeless,5
1/1/15,NY,NY-522,Sheltered Chronically Homeless Individuals,5
1/1/15,NY,NY-522,Sheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-522,Sheltered Homeless,82
1/1/15,NY,NY-522,Sheltered Homeless Individuals,73
1/1/15,NY,NY-522,Sheltered Homeless People in Families,9
1/1/15,NY,NY-522,Sheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-522,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),12
1/1/15,NY,NY-522,Sheltered Homeless Unaccompanied Youth (Under 25),12
1/1/15,NY,NY-522,Sheltered Homeless Veterans,6
1/1/15,NY,NY-522,Sheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-522,Sheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-522,Sheltered Parenting Youth Under 18,0
1/1/15,NY,NY-522,Total Homeless,86
1/1/15,NY,NY-522,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-522,Unsheltered Chronically Homeless,3
1/1/15,NY,NY-522,Unsheltered Chronically Homeless Individuals,3
1/1/15,NY,NY-522,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-522,Unsheltered Homeless,4
1/1/15,NY,NY-522,Unsheltered Homeless Individuals,4
1/1/15,NY,NY-522,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-522,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-522,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-522,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-522,Unsheltered Homeless Veterans,0
1/1/15,NY,NY-522,Unsheltered Parenting Youth (Under 25),0
1/1/15,NY,NY-522,Unsheltered Parenting Youth Age 18-24,0
1/1/15,NY,NY-522,Unsheltered Parenting Youth Under 18,0
1/1/15,NY,NY-523,Children of Parenting Youth,8
1/1/15,NY,NY-523,Chronically Homeless,36
1/1/15,NY,NY-523,Chronically Homeless Individuals,36
1/1/15,NY,NY-523,Chronically Homeless People in Families,0
1/1/15,NY,NY-523,Homeless Individuals,202
1/1/15,NY,NY-523,Homeless People in Families,80
1/1/15,NY,NY-523,Homeless Unaccompanied Children (Under 18),3
1/1/15,NY,NY-523,Homeless Unaccompanied Young Adults (Age 18-24),20
1/1/15,NY,NY-523,Homeless Unaccompanied Youth (Under 25),23
1/1/15,NY,NY-523,Homeless Veterans,40
1/1/15,NY,NY-523,Parenting Youth (Under 25),8
1/1/15,NY,NY-523,Parenting Youth Age 18-24,6
1/1/15,NY,NY-523,Parenting Youth Under 18,2
1/1/15,NY,NY-523,Sheltered Children of Parenting Youth,8
1/1/15,NY,NY-523,Sheltered Chronically Homeless,36
1/1/15,NY,NY-523,Sheltered Chronically Homeless Individuals,36
1/1/15,NY,NY-523,Sheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-523,Sheltered Homeless,282
1/1/15,NY,NY-523,Sheltered Homeless Individuals,202
1/1/15,NY,NY-523,Sheltered Homeless People in Families,80
1/1/15,NY,NY-523,Sheltered Homeless Unaccompanied Children (Under 18),3
1/1/15,NY,NY-523,Sheltered Homeless Unaccompanied Young Adults (Age 18-24),20
1/1/15,NY,NY-523,Sheltered Homeless Unaccompanied Youth (Under 25),23
1/1/15,NY,NY-523,Sheltered Homeless Veterans,40
1/1/15,NY,NY-523,Sheltered Parenting Youth (Under 25),8
1/1/15,NY,NY-523,Sheltered Parenting Youth Age 18-24,6
1/1/15,NY,NY-523,Sheltered Parenting Youth Under 18,2
1/1/15,NY,NY-523,Total Homeless,282
1/1/15,NY,NY-523,Unsheltered Children of Parenting Youth,0
1/1/15,NY,NY-523,Unsheltered Chronically Homeless,0
1/1/15,NY,NY-523,Unsheltered Chronically Homeless Individuals,0
1/1/15,NY,NY-523,Unsheltered Chronically Homeless People in Families,0
1/1/15,NY,NY-523,Unsheltered Homeless,0
1/1/15,NY,NY-523,Unsheltered Homeless Individuals,0
1/1/15,NY,NY-523,Unsheltered Homeless People in Families,0
1/1/15,NY,NY-523,Unsheltered Homeless Unaccompanied Children (Under 18),0
1/1/15,NY,NY-523,Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),0
1/1/15,NY,NY-523,Unsheltered Homeless Unaccompanied Youth (Under 25),0
1/1/15,NY,NY-523,Unsheltered Homeless Veterans,0
